parameterization,date,smoothed_dpi,smoothed_pai
Uribe-A mode 5,1954.75,0.026862941669011,1.05560498485882
Uribe-A mode 5,1955,0.105649467119545,1.08246792652783
Uribe-A mode 5,1955.25,0.0556815432646323,1.18811739364737
Uribe-A mode 5,1955.5,0.108537965062914,1.243798936912
Uribe-A mode 5,1955.75,0.0845819009056973,1.35233690197492
Uribe-A mode 5,1956,0.00517371156658378,1.43691880288062
Uribe-A mode 5,1956.25,0.0304025281754982,1.4420925144472
Uribe-A mode 5,1956.5,0.00261089146344342,1.4724950426227
Uribe-A mode 5,1956.75,0.0173413436162159,1.47510593408614
Uribe-A mode 5,1957,0.00707866746498967,1.49244727770236
Uribe-A mode 5,1957.25,-0.0635182063762085,1.49952594516735
Uribe-A mode 5,1957.5,-0.00705871676159405,1.43600773879114
Uribe-A mode 5,1957.75,-0.0878838867210482,1.42894902202954
Uribe-A mode 5,1958,-0.202392802000043,1.3410651353085
Uribe-A mode 5,1958.25,-0.106572856948358,1.13867233330845
Uribe-A mode 5,1958.5,0.0385834829239787,1.0320994763601
Uribe-A mode 5,1958.75,0.0404753943205797,1.07068295928407
Uribe-A mode 5,1959,-0.0145749192016337,1.11115835360465
Uribe-A mode 5,1959.25,0.0357542259826748,1.09658343440302
Uribe-A mode 5,1959.5,-0.00468398892565352,1.13233766038569
Uribe-A mode 5,1959.75,0.0164658350750071,1.12765367146004
Uribe-A mode 5,1960,0.0241237911525901,1.14411950653505
Uribe-A mode 5,1960.25,-0.0646092668758164,1.16824329768764
Uribe-A mode 5,1960.5,-0.0591136829030077,1.10363403081182
Uribe-A mode 5,1960.75,-0.112852285407899,1.04452034790881
Uribe-A mode 5,1961,-0.0252078535070472,0.931668062500915
Uribe-A mode 5,1961.25,-0.00580283611393242,0.906460208993867
Uribe-A mode 5,1961.5,0.0134835663242721,0.900657372879935
Uribe-A mode 5,1961.75,0.0856928470001007,0.914140939204207
Uribe-A mode 5,1962,0.0174796251254672,0.999833786204308
Uribe-A mode 5,1962.25,-0.0187453772435597,1.01731341132978
Uribe-A mode 5,1962.5,0.014663942545747,0.998568034086215
Uribe-A mode 5,1962.75,-0.0218134375106162,1.01323197663196
Uribe-A mode 5,1963,0.0118929847415688,0.991418539121346
Uribe-A mode 5,1963.25,-0.00850777230017977,1.00331152386291
Uribe-A mode 5,1963.5,0.0689945982663631,0.994803751562735
Uribe-A mode 5,1963.75,0.0162390215316484,1.0637983498291
Uribe-A mode 5,1964,0.0159912888028651,1.08003737136075
Uribe-A mode 5,1964.25,-0.0114538323003483,1.09602866016361
Uribe-A mode 5,1964.5,0.0166604828302549,1.08457482786326
Uribe-A mode 5,1964.75,-0.00855555508463852,1.10123531069352
Uribe-A mode 5,1965,0.0791111712213712,1.09267975560888
Uribe-A mode 5,1965.25,0.00172655751613699,1.17179092683025
Uribe-A mode 5,1965.5,0.0383575580568678,1.17351748434639
Uribe-A mode 5,1965.75,0.0682304934768051,1.21187504240326
Uribe-A mode 5,1966,0.0976756193059639,1.28010553588006
Uribe-A mode 5,1966.25,0.0371502556510044,1.37778115518603
Uribe-A mode 5,1966.5,0.0669424560733492,1.41493141083703
Uribe-A mode 5,1966.75,0.0137488497579247,1.48187386691038
Uribe-A mode 5,1967,-0.0658801245070002,1.4956227166683
Uribe-A mode 5,1967.25,-0.0561911007674188,1.4297425921613
Uribe-A mode 5,1967.5,0.0645749666406887,1.37355149139388
Uribe-A mode 5,1967.75,0.0702924917757172,1.43812645803457
Uribe-A mode 5,1968,0.113243071929562,1.50841894981029
Uribe-A mode 5,1968.25,0.133649139651904,1.62166202173985
Uribe-A mode 5,1968.5,-0.00052074960164572,1.75531116139176
Uribe-A mode 5,1968.75,0.0168382900504952,1.75479041179011
Uribe-A mode 5,1969,0.0893841545235421,1.7716287018406
Uribe-A mode 5,1969.25,0.158910783322208,1.86101285636415
Uribe-A mode 5,1969.5,0.0741524906952417,2.01992363968636
Uribe-A mode 5,1969.75,-0.0266320748602595,2.0940761303816
Uribe-A mode 5,1970,-0.0316200983152722,2.06744405552134
Uribe-A mode 5,1970.25,-0.06139814533218,2.03582395720607
Uribe-A mode 5,1970.5,-0.0954226062068153,1.97442581187389
Uribe-A mode 5,1970.75,-0.107749539719919,1.87900320566707
Uribe-A mode 5,1971,-0.0476750226526801,1.77125366594715
Uribe-A mode 5,1971.25,0.0408893791841346,1.72357864329447
Uribe-A mode 5,1971.5,0.0423923621714248,1.76446802247861
Uribe-A mode 5,1971.75,-0.108650185276696,1.80686038465003
Uribe-A mode 5,1972,-0.0806183660424146,1.69821019937333
Uribe-A mode 5,1972.25,0.0804326823857524,1.61759183333092
Uribe-A mode 5,1972.5,0.0479200612627191,1.69802451571667
Uribe-A mode 5,1972.75,0.110230901317643,1.74594457697939
Uribe-A mode 5,1973,0.231072935178781,1.85617547829703
Uribe-A mode 5,1973.25,0.204457731619033,2.08724841347582
Uribe-A mode 5,1973.5,0.313758454159377,2.29170614509485
Uribe-A mode 5,1973.75,0.0619923025649795,2.60546459925423
Uribe-A mode 5,1974,0.00807293584498049,2.66745690181921
Uribe-A mode 5,1974.25,0.294122084761717,2.67552983766419
Uribe-A mode 5,1974.5,0.118803058465629,2.9696519224259
Uribe-A mode 5,1974.75,-0.248096876201376,3.08845498089153
Uribe-A mode 5,1975,-0.376184447826802,2.84035810469016
Uribe-A mode 5,1975.25,-0.165191116044014,2.46417365686335
