name,category,mode,local_sd
phi,structural,145.568961589101,32.1261507491552
alpha_pi,structural,2.45009115885501,0.221659178263559
alpha_y,structural,0.0870556914205161,0.094209084920125
gamma_m,structural,0.63351999264886,0.0691546280250303
gamma_I,structural,0.100948366727278,0.241776128759373
delta,structural,0.19124301160095,0.0454890090198005
rho_xi,structural,0.910299406534586,0.0197685266948597
rho_theta,structural,0.880751394478558,0.221280806957739
rho_z,structural,0.879260914972647,0.220324224458287
rho_g,structural,0.0864768542579604,0.0936453036786481
rho_gm,structural,0.0600336514295658,0.118934673469448
rho_zm,structural,0.220686213265085,0.420686608171893
sigma_xi,structural,2.63038963557395,0.394332920431664
sigma_theta,structural,0.027246768074477,0.168973639026319
sigma_z,structural,0.0154500088213743,0.126245342936943
sigma_g,structural,0.835461651730089,0.0913574121728278
sigma_gm,structural,0.139425031939712,0.0305870386241506
sigma_zm,structural,0.0556124194036813,0.155303427077411
obs_dy,measurement_error_stderr,0.194474141348983,0.0559047168308717
obs_r,measurement_error_stderr,0.214707144957047,0.0114166953230573
obs_di,measurement_error_stderr,0.0393356595954754,0.012442793387969
